step,time_sec,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
1,0.02,0,0,1.0432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.04,-0.00160918,0.000286703,1.04977,0.999989,-0.000359349,-0.00442901,0.00138486,0.000198047,-0.000487682,-0.00261671,0.0221677,-0.00417437,-0.0190794,0.00215227,-0.00286635,0.0189804,-0.00435003,0.00153276,-0.0143472,0.156943,-0.0123651,0.131376,0.0391163,-0.133812,-0.0827772,0.110692
3,0.06,-0.00395932,0.000212989,1.04579,0.999964,-6.22809e-05,-0.00826152,0.00199049,-0.00232348,-0.00128019,-0.00173494,0.0391833,-0.0139249,-0.036259,0.00276644,-0.0059609,0.0353561,-0.00864737,0.00416981,-0.0259023,0.289921,-0.022941,0.243304,0.0721173,-0.246879,-0.152876,0.204655
4,0.08,-0.00853873,-0.000118782,1.04384,0.999924,-0.000116972,-0.0115076,0.0044761,-0.00139045,-0.00122851,-0.00583673,0.0535996,-0.0226204,-0.0521449,0.00373798,-0.00936302,0.0486753,-0.0162033,0.00653962,-0.0369293,0.419399,-0.0329701,0.351867,0.104386,-0.357306,-0.221195,0.296284
5,0.1,-0.0134746,0.000895825,1.04324,0.999849,-0.00118645,-0.0158979,0.00694058,-0.00130393,-0.000635688,-0.00716657,0.0664855,-0.0307225,-0.0646147,0.00430117,-0.0102402,0.0600037,-0.0263084,0.0084928,-0.0465817,0.529281,-0.0418867,0.444762,0.131829,-0.450712,-0.279177,0.374213
6,0.12,-0.0180202,0.00336411,1.04302,0.999759,-0.00294689,-0.0201537,0.00816858,-0.000653027,0.000237517,-0.00968415,0.0817073,-0.0319944,-0.0782674,0.00429616,-0.0113176,0.0703433,-0.0361336,0.010318,-0.05553,0.636138,-0.0500446,0.534223,0.158664,-0.542093,-0.33569,0.449803
7,0.14,-0.0222968,0.00592971,1.04328,0.999679,-0.00413747,-0.0237411,0.00783757,-0.000771448,5.74758e-05,-0.0109922,0.0924558,-0.0388785,-0.0900179,0.00303129,-0.0120846,0.076974,-0.0490416,0.00982367,-0.0643035,0.727244,-0.0576276,0.611274,0.182015,-0.619584,-0.383842,0.514505
8,0.16,-0.0259579,0.00689041,1.04361,0.999598,-0.00495672,-0.0266897,0.00820727,0.000276119,0.00107584,-0.0128423,0.101762,-0.0470899,-0.101368,0.00264829,-0.0134307,0.0841875,-0.0587734,0.00935006,-0.0721398,0.81619,-0.0641004,0.685117,0.204936,-0.695657,-0.430809,0.577092
9,0.18,-0.029077,0.00665394,1.0439,0.999507,-0.00511716,-0.0294324,0.00970437,0.000970002,0.00200793,-0.0140204,0.109114,-0.0547673,-0.111182,0.0022282,-0.0134581,0.0905085,-0.0686075,0.010618,-0.0792652,0.891745,-0.0705756,0.749309,0.223656,-0.759707,-0.470643,0.630845
10,0.2,-0.0316673,0.0068173,1.04404,0.999421,-0.00547892,-0.0318332,0.010715,0.00194195,0.00294137,-0.0154639,0.116723,-0.061604,-0.120667,0.00176846,-0.0139449,0.0967165,-0.0771459,0.0112183,-0.0853175,0.965674,-0.0757683,0.810435,0.242511,-0.822925,-0.509544,0.682592
11,0.22,-0.0338393,0.0073281,1.04426,0.999335,-0.00600416,-0.0340555,0.0115712,0.00260344,0.0038124,-0.0158687,0.122822,-0.0683965,-0.129021,0.00135867,-0.0138141,0.102034,-0.0855057,0.0117341,-0.0915117,1.02816,-0.081273,0.863722,0.258066,-0.875893,-0.542559,0.727237
