step,time_sec,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18
1,0.02,-0.00202477,-0.0171899,0.285051,0.116281,-0.112284,-0.000119816,-0.0191239,0.285104,0.116699,-0.112665,0.00133699,0.0428059,0.000968982,0.00186312,-0.00185375,0.0429716,-0.00179952,-0.00210326,-0.00163228
2,0.04,-0.00261254,-0.0642149,-0.204014,-0.0812506,0.0937171,0.0039887,0.0904495,-0.203553,-0.0814502,0.0940302,-0.000557532,-0.0263476,-0.00013342,-0.00104773,0.00362139,-0.0264044,0.000708255,0.00126683,0.00357715
3,0.06,-0.0109395,-0.0491879,0.120463,0.0472672,-0.0765351,0.0101869,0.0336594,0.120392,0.0475595,-0.0767638,6.43992e-05,0.0279963,-8.92139e-06,0.00095521,0.00107234,0.0279774,-0.000478135,-0.0011842,0.000967083
4,0.08,0.0021918,-0.0422098,-0.0920015,-0.0347636,0.0635735,-0.00167788,0.0541633,-0.0917222,-0.0349383,0.0637633,0.000121165,-0.0158102,0.000449016,-0.000437659,0.00136738,-0.0157181,-0.000139635,0.000617171,0.00150565
5,0.1,-0.0108016,-0.0415256,0.0498194,0.0180934,-0.0515246,0.0105493,0.035078,0.0498834,0.0183438,-0.0516615,-0.00023516,0.0182088,-0.000381917,0.000473715,0.00170858,0.018081,0.000107718,-0.000646125,0.00152014
6,0.12,0.00281741,-0.0319054,-0.0425736,-0.014756,0.042691,-0.00262868,0.0374313,-0.0424627,-0.014909,0.0428074,0.000261153,-0.00951912,0.00060467,-0.000146072,0.000476364,-0.00937343,-0.000447297,0.000273917,0.000644575
7,0.14,-0.00855603,-0.029004,0.0203843,0.00630193,-0.0344183,0.00848104,0.0263735,0.0204826,0.00649134,-0.0345027,-0.000250714,0.0115884,-0.000473433,0.000215639,0.00145377,0.0114338,0.000323972,-0.000334579,0.00127388
8,0.16,0.0026666,-0.0210005,-0.0202925,-0.00612489,0.0284731,-0.00260207,0.0235635,-0.0202735,-0.0062486,0.0285455,0.000243916,-0.00599984,0.000568335,-2.4372e-05,3.56219e-05,-0.0058572,-0.00049016,0.000111438,0.000182218
9,0.18,-0.00596232,-0.0158615,0.00845924,0.00180082,-0.0228948,0.00594419,0.0147511,0.00852243,0.00192461,-0.0229492,-0.000194946,0.00696043,-0.000450182,7.22439e-05,0.000904719,0.00681665,0.000374003,-0.000149938,0.000759705
10,0.2,0.00261612,-0.00871251,-0.00973511,-0.00231296,0.01889,-0.00259896,0.00982353,-0.00977755,-0.00241507,0.0189349,0.000189958,-0.00427672,0.000457447,7.73645e-06,-0.000307105,-0.00415874,-0.000416041,5.162e-05,-0.000193301
11,0.22,-0.00349868,-0.00235512,0.00395697,0.000315487,-0.0152123,0.00349422,0.00176089,0.00395401,0.000379415,-0.0152492,-0.000135624,0.00356204,-0.000393112,-1.45142e-05,0.000281209,0.00344134,0.000362134,-3.32057e-05,0.000173023
12,0.24,0.0028682,0.00458402,-0.00433671,-0.000548829,0.012464,-0.00286914,-0.0042643,-0.00443734,-0.000642382,0.0124905,0.000135981,-0.00371705,0.000327363,-6.80487e-06,-0.000668663,-0.00362811,-0.000298524,4.90338e-05,-0.000584765
13,0.26,-0.00126721,0.0115593,0.00256641,3.79669e-05,-0.010131,0.00126276,-0.0120768,0.00248381,4.95582e-05,-0.010158,-9.15121e-05,0.000906242,-0.000338624,-7.53001e-05,-0.000345088,0.000809518,0.000338229,4.9155e-05,-0.000422177
14,0.28,0.00342091,0.0185669,-0.00129386,0.000334598,0.00816109,-0.00342858,-0.0187481,-0.00145998,0.000237087,0.00817493,9.02308e-05,-0.00391602,0.000201587,-4.53487e-05,-0.00107753,-0.00385343,-0.000171486,7.80606e-05,-0.001017
